ID,Restaurant,City,Area,Cuisine,Rating,Cost,Veg,Delivery,Address,Phone,Timings,Menu,Description,Popular_Dishes,Popularity,Image
1,Olive Table,Chandigarh,Sector 7,North Indian,4.3,1950,Yes,Yes,"SCO 164, Sector 7, Chandigarh, Punjab",+91 9888750448,9 AM - 11 PM,"Curries, kebabs, biryani, breads","A well-loved north indian destination in Sector 7, known for relaxed service, fresh flavours, and an inviting setting.",Butter Chicken; Dal Makhani; Tandoori Platter,91,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
2,Copper Table,Mohali,Phase 5,Cafe,4.4,1600,Yes,Yes,"SCO 68, Phase 5, Mohali, Punjab",+91 9812966326,12 PM - 12 AM,"Coffee, breakfast bowls, sandwiches, desserts","A well-loved cafe destination in Phase 5, known for relaxed service, fresh flavours, and an inviting setting.",Cold Brew; Avocado Toast; Pancake Stack,86,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
3,Saffron Table,Panchkula,Sector 11,Italian,4.3,400,No,Yes,"SCO 267, Sector 11, Panchkula, Punjab",+91 9884230530,8 AM - 10:30 PM,"Pizza, pasta, risotto, desserts","A well-loved italian destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Truffle Pasta; Burrata Pizza; Tiramisu,71,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
4,Willow Table,Chandigarh,Sector 22,Chinese,4.4,1150,No,Yes,"SCO 58, Sector 22, Chandigarh, Punjab",+91 9872310747,12 PM - 12 AM,"Noodles, dimsum, stir-fry, soups","A well-loved chinese destination in Sector 22, known for relaxed service, fresh flavours, and an inviting setting.",Chilli Paneer; Dimsum; Hakka Noodles,78,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
5,Urban Table,Mohali,Sector 70,South Indian,4.1,750,Yes,Yes,"SCO 150, Sector 70, Mohali, Punjab",+91 9846823223,9 AM - 11 PM,"Dosa, idli, vada, coffee","A well-loved south indian destination in Sector 70, known for relaxed service, fresh flavours, and an inviting setting.",Masala Dosa; Mini Idli; Filter Coffee,75,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
6,Cedar Table,Panchkula,MDC Sector 4,Punjabi,4.0,1950,Yes,Yes,"SCO 55, MDC Sector 4, Panchkula, Punjab",+91 9821104871,9 AM - 11 PM,"Thalis, curries, breads, desserts","A well-loved punjabi destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Amritsari Kulcha; Chole; Lassi,72,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
7,Mango Table,Chandigarh,Sector 43,Continental,4.3,800,Yes,Yes,"SCO 261, Sector 43, Chandigarh, Punjab",+91 9885234765,11 AM - 11:30 PM,"Salads, grills, pasta, desserts","A well-loved continental destination in Sector 43, known for relaxed service, fresh flavours, and an inviting setting.",Grilled Chicken; Caesar Salad; Chocolate Fondant,82,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
8,Mint Table,Mohali,Phase 3B2,Asian,3.9,950,No,Yes,"SCO 231, Phase 3B2, Mohali, Punjab",+91 9862710008,9 AM - 11 PM,"Sushi, Thai curry, ramen, bowls","A well-loved asian destination in Phase 3B2, known for relaxed service, fresh flavours, and an inviting setting.",Sushi Roll; Thai Curry; Ramen,65,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
9,Blue Table,Panchkula,Sector 11,Bakery,4.3,1500,Yes,Yes,"SCO 262, Sector 11, Panchkula, Punjab",+91 9822448346,11 AM - 11:30 PM,"Cakes, pastries, breads, coffee","A well-loved bakery destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Sourdough; Red Velvet Cake; Croissant,75,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
10,Curry Table,Chandigarh,Sector 17,Fast Food,4.8,2100,No,No,"SCO 223, Sector 17, Chandigarh, Punjab",+91 9844751612,8 AM - 10:30 PM,"Burgers, wraps, fries, shakes","A well-loved fast food destination in Sector 17, known for relaxed service, fresh flavours, and an inviting setting.",Loaded Burger; Peri Peri Fries; Wrap,65,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
11,Basil Table,Mohali,Phase 10,North Indian,3.9,650,No,Yes,"SCO 145, Phase 10, Mohali, Punjab",+91 9881812827,8 AM - 10:30 PM,"Curries, kebabs, biryani, breads","A well-loved north indian destination in Phase 10, known for relaxed service, fresh flavours, and an inviting setting.",Butter Chicken; Dal Makhani; Tandoori Platter,95,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
12,Roast Table,Panchkula,MDC Sector 4,Cafe,4.5,600,Yes,Yes,"SCO 128, MDC Sector 4, Panchkula, Punjab",+91 9824685622,9 AM - 11 PM,"Coffee, breakfast bowls, sandwiches, desserts","A well-loved cafe destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Cold Brew; Avocado Toast; Pancake Stack,78,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
13,Amber Table,Chandigarh,Sector 35,Italian,4.3,750,Yes,Yes,"SCO 314, Sector 35, Chandigarh, Punjab",+91 9893073283,8 AM - 10:30 PM,"Pizza, pasta, risotto, desserts","A well-loved italian destination in Sector 35, known for relaxed service, fresh flavours, and an inviting setting.",Truffle Pasta; Burrata Pizza; Tiramisu,97,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
14,Maple Table,Mohali,Airport Road,Chinese,3.8,800,No,No,"SCO 80, Airport Road, Mohali, Punjab",+91 9880943957,11 AM - 11:30 PM,"Noodles, dimsum, stir-fry, soups","A well-loved chinese destination in Airport Road, known for relaxed service, fresh flavours, and an inviting setting.",Chilli Paneer; Dimsum; Hakka Noodles,84,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
15,Pine Table,Panchkula,Sector 11,South Indian,4.7,750,Yes,No,"SCO 48, Sector 11, Panchkula, Punjab",+91 9824748765,8 AM - 10:30 PM,"Dosa, idli, vada, coffee","A well-loved south indian destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Masala Dosa; Mini Idli; Filter Coffee,76,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
16,Olive Kitchen,Chandigarh,Sector 9,Punjabi,4.2,2150,Yes,Yes,"SCO 255, Sector 9, Chandigarh, Punjab",+91 9856496739,11 AM - 11:30 PM,"Thalis, curries, breads, desserts","A well-loved punjabi destination in Sector 9, known for relaxed service, fresh flavours, and an inviting setting.",Amritsari Kulcha; Chole; Lassi,88,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
17,Copper Kitchen,Mohali,Phase 7,Continental,4.2,1850,No,No,"SCO 165, Phase 7, Mohali, Punjab",+91 9858852010,9 AM - 11 PM,"Salads, grills, pasta, desserts","A well-loved continental destination in Phase 7, known for relaxed service, fresh flavours, and an inviting setting.",Grilled Chicken; Caesar Salad; Chocolate Fondant,77,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
18,Saffron Kitchen,Panchkula,MDC Sector 4,Asian,3.9,550,Yes,Yes,"SCO 287, MDC Sector 4, Panchkula, Punjab",+91 9894865033,12 PM - 12 AM,"Sushi, Thai curry, ramen, bowls","A well-loved asian destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Sushi Roll; Thai Curry; Ramen,93,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
19,Willow Kitchen,Chandigarh,Sector 26,Bakery,4.5,600,Yes,Yes,"SCO 281, Sector 26, Chandigarh, Punjab",+91 9861842714,8 AM - 10:30 PM,"Cakes, pastries, breads, coffee","A well-loved bakery destination in Sector 26, known for relaxed service, fresh flavours, and an inviting setting.",Sourdough; Red Velvet Cake; Croissant,89,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
20,Urban Kitchen,Mohali,Sector 79,Fast Food,3.9,350,Yes,Yes,"SCO 333, Sector 79, Mohali, Punjab",+91 9826281260,9 AM - 11 PM,"Burgers, wraps, fries, shakes","A well-loved fast food destination in Sector 79, known for relaxed service, fresh flavours, and an inviting setting.",Loaded Burger; Peri Peri Fries; Wrap,83,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
21,Cedar Kitchen,Panchkula,Sector 11,North Indian,4.3,1200,Yes,Yes,"SCO 179, Sector 11, Panchkula, Punjab",+91 9823418328,9 AM - 11 PM,"Curries, kebabs, biryani, breads","A well-loved north indian destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Butter Chicken; Dal Makhani; Tandoori Platter,92,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
22,Mango Kitchen,Chandigarh,Sector 7,Cafe,4.2,1750,Yes,No,"SCO 335, Sector 7, Chandigarh, Punjab",+91 9858253415,9 AM - 11 PM,"Coffee, breakfast bowls, sandwiches, desserts","A well-loved cafe destination in Sector 7, known for relaxed service, fresh flavours, and an inviting setting.",Cold Brew; Avocado Toast; Pancake Stack,60,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
23,Mint Kitchen,Mohali,Phase 5,Italian,4.6,2000,Yes,Yes,"SCO 338, Phase 5, Mohali, Punjab",+91 9897104573,8 AM - 10:30 PM,"Pizza, pasta, risotto, desserts","A well-loved italian destination in Phase 5, known for relaxed service, fresh flavours, and an inviting setting.",Truffle Pasta; Burrata Pizza; Tiramisu,97,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
24,Blue Kitchen,Panchkula,MDC Sector 4,Chinese,4.2,2200,No,Yes,"SCO 318, MDC Sector 4, Panchkula, Punjab",+91 9813646422,9 AM - 11 PM,"Noodles, dimsum, stir-fry, soups","A well-loved chinese destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Chilli Paneer; Dimsum; Hakka Noodles,83,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
25,Curry Kitchen,Chandigarh,Sector 22,South Indian,3.9,2250,Yes,Yes,"SCO 60, Sector 22, Chandigarh, Punjab",+91 9875677867,9 AM - 11 PM,"Dosa, idli, vada, coffee","A well-loved south indian destination in Sector 22, known for relaxed service, fresh flavours, and an inviting setting.",Masala Dosa; Mini Idli; Filter Coffee,91,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
26,Basil Kitchen,Mohali,Sector 70,Punjabi,4.2,2400,Yes,Yes,"SCO 123, Sector 70, Mohali, Punjab",+91 9896104934,11 AM - 11:30 PM,"Thalis, curries, breads, desserts","A well-loved punjabi destination in Sector 70, known for relaxed service, fresh flavours, and an inviting setting.",Amritsari Kulcha; Chole; Lassi,81,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
27,Roast Kitchen,Panchkula,Sector 11,Continental,4.7,1150,Yes,Yes,"SCO 28, Sector 11, Panchkula, Punjab",+91 9877296023,8 AM - 10:30 PM,"Salads, grills, pasta, desserts","A well-loved continental destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Grilled Chicken; Caesar Salad; Chocolate Fondant,74,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
28,Amber Kitchen,Chandigarh,Sector 43,Asian,4.6,1600,No,No,"SCO 89, Sector 43, Chandigarh, Punjab",+91 9876725899,8 AM - 10:30 PM,"Sushi, Thai curry, ramen, bowls","A well-loved asian destination in Sector 43, known for relaxed service, fresh flavours, and an inviting setting.",Sushi Roll; Thai Curry; Ramen,77,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
29,Maple Kitchen,Mohali,Phase 3B2,Bakery,4.6,950,Yes,Yes,"SCO 69, Phase 3B2, Mohali, Punjab",+91 9842785254,11 AM - 11:30 PM,"Cakes, pastries, breads, coffee","A well-loved bakery destination in Phase 3B2, known for relaxed service, fresh flavours, and an inviting setting.",Sourdough; Red Velvet Cake; Croissant,73,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
30,Pine Kitchen,Panchkula,MDC Sector 4,Fast Food,4.1,1350,Yes,Yes,"SCO 162, MDC Sector 4, Panchkula, Punjab",+91 9868134721,11 AM - 11:30 PM,"Burgers, wraps, fries, shakes","A well-loved fast food destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Loaded Burger; Peri Peri Fries; Wrap,73,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
31,Olive Cafe,Chandigarh,Sector 17,North Indian,4.6,1950,No,Yes,"SCO 231, Sector 17, Chandigarh, Punjab",+91 9883449871,11 AM - 11:30 PM,"Curries, kebabs, biryani, breads","A well-loved north indian destination in Sector 17, known for relaxed service, fresh flavours, and an inviting setting.",Butter Chicken; Dal Makhani; Tandoori Platter,85,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
32,Copper Cafe,Mohali,Phase 10,Cafe,4.1,1350,Yes,No,"SCO 96, Phase 10, Mohali, Punjab",+91 9841712394,12 PM - 12 AM,"Coffee, breakfast bowls, sandwiches, desserts","A well-loved cafe destination in Phase 10, known for relaxed service, fresh flavours, and an inviting setting.",Cold Brew; Avocado Toast; Pancake Stack,97,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
33,Saffron Cafe,Panchkula,Sector 11,Italian,4.3,1600,Yes,Yes,"SCO 233, Sector 11, Panchkula, Punjab",+91 9872062204,11 AM - 11:30 PM,"Pizza, pasta, risotto, desserts","A well-loved italian destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Truffle Pasta; Burrata Pizza; Tiramisu,62,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
34,Willow Cafe,Chandigarh,Sector 35,Chinese,4.9,1050,Yes,No,"SCO 60, Sector 35, Chandigarh, Punjab",+91 9817292849,12 PM - 12 AM,"Noodles, dimsum, stir-fry, soups","A well-loved chinese destination in Sector 35, known for relaxed service, fresh flavours, and an inviting setting.",Chilli Paneer; Dimsum; Hakka Noodles,70,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
35,Urban Cafe,Mohali,Airport Road,South Indian,4.1,1150,Yes,Yes,"SCO 303, Airport Road, Mohali, Punjab",+91 9855695340,12 PM - 12 AM,"Dosa, idli, vada, coffee","A well-loved south indian destination in Airport Road, known for relaxed service, fresh flavours, and an inviting setting.",Masala Dosa; Mini Idli; Filter Coffee,83,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
36,Cedar Cafe,Panchkula,MDC Sector 4,Punjabi,4.3,550,Yes,No,"SCO 179, MDC Sector 4, Panchkula, Punjab",+91 9892326386,12 PM - 12 AM,"Thalis, curries, breads, desserts","A well-loved punjabi destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Amritsari Kulcha; Chole; Lassi,98,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
37,Mango Cafe,Chandigarh,Sector 9,Continental,4.4,350,Yes,Yes,"SCO 159, Sector 9, Chandigarh, Punjab",+91 9881679210,11 AM - 11:30 PM,"Salads, grills, pasta, desserts","A well-loved continental destination in Sector 9, known for relaxed service, fresh flavours, and an inviting setting.",Grilled Chicken; Caesar Salad; Chocolate Fondant,62,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
38,Mint Cafe,Mohali,Phase 7,Asian,4.9,1550,No,No,"SCO 327, Phase 7, Mohali, Punjab",+91 9886913034,12 PM - 12 AM,"Sushi, Thai curry, ramen, bowls","A well-loved asian destination in Phase 7, known for relaxed service, fresh flavours, and an inviting setting.",Sushi Roll; Thai Curry; Ramen,92,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
39,Blue Cafe,Panchkula,Sector 11,Bakery,4.2,2000,Yes,Yes,"SCO 33, Sector 11, Panchkula, Punjab",+91 9830136531,12 PM - 12 AM,"Cakes, pastries, breads, coffee","A well-loved bakery destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Sourdough; Red Velvet Cake; Croissant,94,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
40,Curry Cafe,Chandigarh,Sector 26,Fast Food,4.1,1500,No,Yes,"SCO 84, Sector 26, Chandigarh, Punjab",+91 9812658196,9 AM - 11 PM,"Burgers, wraps, fries, shakes","A well-loved fast food destination in Sector 26, known for relaxed service, fresh flavours, and an inviting setting.",Loaded Burger; Peri Peri Fries; Wrap,80,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
41,Basil Cafe,Mohali,Sector 79,North Indian,4.4,2300,Yes,No,"SCO 144, Sector 79, Mohali, Punjab",+91 9880237532,12 PM - 12 AM,"Curries, kebabs, biryani, breads","A well-loved north indian destination in Sector 79, known for relaxed service, fresh flavours, and an inviting setting.",Butter Chicken; Dal Makhani; Tandoori Platter,99,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
42,Roast Cafe,Panchkula,MDC Sector 4,Cafe,4.1,1550,Yes,Yes,"SCO 61, MDC Sector 4, Panchkula, Punjab",+91 9881726627,9 AM - 11 PM,"Coffee, breakfast bowls, sandwiches, desserts","A well-loved cafe destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Cold Brew; Avocado Toast; Pancake Stack,95,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
43,Amber Cafe,Chandigarh,Sector 7,Italian,4.6,950,No,No,"SCO 337, Sector 7, Chandigarh, Punjab",+91 9825148005,11 AM - 11:30 PM,"Pizza, pasta, risotto, desserts","A well-loved italian destination in Sector 7, known for relaxed service, fresh flavours, and an inviting setting.",Truffle Pasta; Burrata Pizza; Tiramisu,84,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
44,Maple Cafe,Mohali,Phase 5,Chinese,4.8,1050,No,Yes,"SCO 123, Phase 5, Mohali, Punjab",+91 9859961936,12 PM - 12 AM,"Noodles, dimsum, stir-fry, soups","A well-loved chinese destination in Phase 5, known for relaxed service, fresh flavours, and an inviting setting.",Chilli Paneer; Dimsum; Hakka Noodles,95,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
45,Pine Cafe,Panchkula,Sector 11,South Indian,3.9,1300,Yes,Yes,"SCO 175, Sector 11, Panchkula, Punjab",+91 9861156619,11 AM - 11:30 PM,"Dosa, idli, vada, coffee","A well-loved south indian destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Masala Dosa; Mini Idli; Filter Coffee,84,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
46,Olive Bistro,Chandigarh,Sector 22,Punjabi,4.8,1350,Yes,Yes,"SCO 225, Sector 22, Chandigarh, Punjab",+91 9889804256,12 PM - 12 AM,"Thalis, curries, breads, desserts","A well-loved punjabi destination in Sector 22, known for relaxed service, fresh flavours, and an inviting setting.",Amritsari Kulcha; Chole; Lassi,85,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
47,Copper Bistro,Mohali,Sector 70,Continental,4.6,1000,Yes,Yes,"SCO 305, Sector 70, Mohali, Punjab",+91 9892241728,12 PM - 12 AM,"Salads, grills, pasta, desserts","A well-loved continental destination in Sector 70, known for relaxed service, fresh flavours, and an inviting setting.",Grilled Chicken; Caesar Salad; Chocolate Fondant,80,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
48,Saffron Bistro,Panchkula,MDC Sector 4,Asian,3.8,1150,Yes,Yes,"SCO 99, MDC Sector 4, Panchkula, Punjab",+91 9834829094,11 AM - 11:30 PM,"Sushi, Thai curry, ramen, bowls","A well-loved asian destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Sushi Roll; Thai Curry; Ramen,74,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
49,Willow Bistro,Chandigarh,Sector 43,Bakery,4.4,1400,Yes,No,"SCO 248, Sector 43, Chandigarh, Punjab",+91 9867994535,8 AM - 10:30 PM,"Cakes, pastries, breads, coffee","A well-loved bakery destination in Sector 43, known for relaxed service, fresh flavours, and an inviting setting.",Sourdough; Red Velvet Cake; Croissant,64,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
50,Urban Bistro,Mohali,Phase 3B2,Fast Food,4.3,800,Yes,No,"SCO 199, Phase 3B2, Mohali, Punjab",+91 9862722168,8 AM - 10:30 PM,"Burgers, wraps, fries, shakes","A well-loved fast food destination in Phase 3B2, known for relaxed service, fresh flavours, and an inviting setting.",Loaded Burger; Peri Peri Fries; Wrap,65,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
51,Cedar Bistro,Panchkula,Sector 11,North Indian,3.9,1200,No,No,"SCO 269, Sector 11, Panchkula, Punjab",+91 9829126285,8 AM - 10:30 PM,"Curries, kebabs, biryani, breads","A well-loved north indian destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Butter Chicken; Dal Makhani; Tandoori Platter,91,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
52,Mango Bistro,Chandigarh,Sector 17,Cafe,4.5,2050,Yes,Yes,"SCO 192, Sector 17, Chandigarh, Punjab",+91 9890819288,9 AM - 11 PM,"Coffee, breakfast bowls, sandwiches, desserts","A well-loved cafe destination in Sector 17, known for relaxed service, fresh flavours, and an inviting setting.",Cold Brew; Avocado Toast; Pancake Stack,95,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
